ds-id,d-pos,d-neg
0,0.006596,0.076483
0,0.011589,0.081324
0,0.009102,0.215185
0,0.011389,0.173777
0,0.020337,0.074319
0,0.007982,0.071741
0,0.009674,0.070412
0,0.034373,0.058267
0,0.018830,0.067693
0,0.008658,0.091125
0,0.015768,0.069609
0,0.011343,0.065029
0,0.007891,0.068155
0,0.011544,0.101437
0,0.011519,0.070873
0,0.028848,0.080682
0,0.012481,0.115386
0,0.014288,0.078554
0,0.016229,0.078082
0,0.029517,0.131116
0,0.008726,0.074530
0,0.011093,0.194179
0,0.020069,0.111088
0,0.028903,0.115598
0,0.021777,0.134168
0,0.017688,0.060786
0,0.017102,0.057423
0,0.040508,0.075679
0,0.011917,0.082354
0,0.024170,0.089382
0,0.022816,0.112616
0,0.036854,0.115202
0,0.014957,0.056700
0,0.012845,0.084249
0,0.014614,0.107369
0,0.010593,0.113292
0,0.058603,0.130284
0,0.020369,0.068052
0,0.011755,0.073571
0,0.012626,0.112746
0,0.021363,0.094734
0,0.017291,0.094752
0,0.041195,0.055471
0,0.010079,0.079543
0,0.017352,0.095255
0,0.019685,0.084638
0,0.018449,0.043974
0,0.012207,0.092314
0,0.034056,0.069571
0,0.020302,0.087933
0,0.012415,0.088977
0,0.023138,0.084071
0,0.014186,0.080463
0,0.014426,0.074477
0,0.039263,0.044619
0,0.022993,0.099198
0,0.009494,0.080685
0,0.022656,0.105373
0,0.007663,0.077976
0,0.006133,0.078216
0,0.013305,0.086490
0,0.024672,0.068009
0,0.011747,0.074950
0,0.009823,0.080382
0,0.016686,0.112990
0,0.010788,0.071085
0,0.040412,0.054910
0,0.025293,0.084832
0,0.013235,0.080803
0,0.007628,0.106698
0,0.017421,0.091379
0,0.012705,0.105639
0,0.025757,0.104550
0,0.029935,0.095201
0,0.017877,0.061706
0,0.022159,0.065656
0,0.010363,0.071874
0,0.011965,0.069413
0,0.021375,0.072738
0,0.016642,0.132738
0,0.019337,0.059393
0,0.013920,0.059172
0,0.014283,0.107348
0,0.014733,0.076044
0,0.013101,0.070021
0,0.010221,0.064168
0,0.009135,0.054710
0,0.031446,0.101003
0,0.011850,0.128497
0,0.039234,0.140902
0,0.015671,0.094795
0,0.018766,0.112581
0,0.012366,0.196597
0,0.024368,0.122577
0,0.010353,0.059394
0,0.015054,0.095142
0,0.011864,0.133708
0,0.025061,0.083179
0,0.007412,0.062821
0,0.015341,0.104543
0,0.011317,0.070491
0,0.010388,0.072555
0,0.021931,0.067850
0,0.009812,0.061523
0,0.016564,0.137164
0,0.022038,0.093521
0,0.022757,0.094735
0,0.012415,0.076606
0,0.014332,0.073715
0,0.009456,0.102797
0,0.023571,0.097379
0,0.014752,0.064391
0,0.016644,0.092591
0,0.020563,0.052625
0,0.009812,0.108681
0,0.030452,0.083418
0,0.007807,0.071135
0,0.011092,0.092430
0,0.014918,0.085188
0,0.025560,0.108215
0,0.011082,0.096439
0,0.015033,0.089947
0,0.036313,0.058035
0,0.012878,0.075944
0,0.015160,0.072663
0,0.021895,0.111232
0,0.024318,0.077223
0,0.040743,0.051955
0,0.025295,0.099819
0,0.018963,0.079352
0,0.011286,0.094305
0,0.016314,0.066448
0,0.024362,0.138254
0,0.024973,0.098040
0,0.021863,0.089267
0,0.008373,0.110810
0,0.009376,0.046007
0,0.021638,0.070576
0,0.010673,0.068688
0,0.018362,0.068845
0,0.019066,0.110750
0,0.012183,0.082568
0,0.011250,0.076780
0,0.012998,0.096717
0,0.011715,0.075806
0,0.016046,0.056491
0,0.012511,0.091588
0,0.022099,0.107515
0,0.018959,0.076307
0,0.016356,0.093162
0,0.018914,0.062449
0,0.009012,0.052751
0,0.023543,0.077658
0,0.011575,0.060835
0,0.010166,0.112725
0,0.013476,0.191099
0,0.011006,0.064791
0,0.012146,0.079021
0,0.015393,0.088983
0,0.028391,0.117422
0,0.008710,0.067182
0,0.011841,0.057268
0,0.009587,0.076933
0,0.032616,0.120434
0,0.013693,0.061017
0,0.017537,0.061295
0,0.037676,0.083158
0,0.013249,0.052216
0,0.026134,0.051195
0,0.017850,0.065773
0,0.011898,0.078454
0,0.042911,0.079974
0,0.030180,0.081407
0,0.013078,0.085871
0,0.017513,0.078403
0,0.017360,0.065202
0,0.011014,0.078194
0,0.012985,0.066214
0,0.016771,0.077227
0,0.009403,0.068151
0,0.022245,0.088852
0,0.020683,0.068943
0,0.011594,0.071348
0,0.014089,0.091518
0,0.011762,0.103569
0,0.019577,0.053976
0,0.035987,0.107171
0,0.008661,0.083685
0,0.026742,0.044968
0,0.012676,0.207785
0,0.008898,0.069308
0,0.014887,0.099687
0,0.010527,0.155293
0,0.008405,0.069354
0,0.014677,0.101214
0,0.036917,0.074392
0,0.010294,0.061698
0,0.013873,0.075904
0,0.017619,0.034328
0,0.019139,0.074598
0,0.010448,0.073584
0,0.017425,0.085367
0,0.015014,0.114480
0,0.018046,0.080455
0,0.012414,0.089874
0,0.007975,0.065810
0,0.017291,0.093763
0,0.010016,0.071063
0,0.015719,0.113375
0,0.015760,0.097051
0,0.025020,0.083249
0,0.015897,0.075905
0,0.012371,0.170531
0,0.008614,0.216531
0,0.009392,0.056156
0,0.012708,0.112928
0,0.030799,0.107242
0,0.014094,0.080482
0,0.013661,0.069133
0,0.011763,0.109714
0,0.014054,0.095185
0,0.008574,0.071412
0,0.014156,0.090261
0,0.015635,0.088762
0,0.013574,0.070124
0,0.024115,0.096613
0,0.014944,0.050464
0,0.013300,0.054828
0,0.011746,0.220310
0,0.028174,0.092545
0,0.011832,0.060178
0,0.013968,0.093182
0,0.020758,0.095706
0,0.012839,0.103722
0,0.026977,0.073573
0,0.027092,0.116399
0,0.015464,0.081998
0,0.014157,0.068794
0,0.012338,0.079852
0,0.017765,0.090769
0,0.018637,0.064649
0,0.009674,0.115084
0,0.012246,0.061083
0,0.007587,0.086203
0,0.017805,0.074006
0,0.027504,0.104609
0,0.012504,0.132058
0,0.008251,0.058035
0,0.023176,0.031299
0,0.014495,0.073341
0,0.024353,0.092873
0,0.005986,0.062987
0,0.017712,0.062467
0,0.011654,0.083074
0,0.030814,0.147952
0,0.022400,0.087772
0,0.023204,0.058793
0,0.021333,0.077797
0,0.009045,0.103905
0,0.017290,0.057535
0,0.027241,0.068561
0,0.023341,0.102427
0,0.010176,0.066616
0,0.009515,0.062442
0,0.026334,0.233426
0,0.015468,0.095010
0,0.016781,0.076669
0,0.024190,0.092053
0,0.017450,0.085294
0,0.018648,0.086717
0,0.042963,0.095206
0,0.024047,0.062865
0,0.014107,0.093130
0,0.022012,0.088622
0,0.010956,0.054893
0,0.011241,0.108186
0,0.010254,0.084152
0,0.009679,0.065113
0,0.010841,0.062310
0,0.011935,0.066362
0,0.010761,0.039984
0,0.018315,0.071512
0,0.019321,0.075238
0,0.019749,0.069300
0,0.016866,0.201987
0,0.031609,0.063055
0,0.013673,0.093660
0,0.012156,0.084496
0,0.028834,0.081497
0,0.012490,0.070592
0,0.011259,0.211239
0,0.009039,0.091884
0,0.019842,0.065442
0,0.010785,0.086672
0,0.026224,0.087148
0,0.015635,0.068880
0,0.009410,0.064537
0,0.010563,0.058588
0,0.011498,0.080782
0,0.014817,0.085772
0,0.016650,0.063233
0,0.024931,0.083934
0,0.010158,0.103190
0,0.022877,0.083519
0,0.011380,0.059987
0,0.013137,0.073448
0,0.011245,0.098777
0,0.012720,0.076853
0,0.015947,0.087928
0,0.010381,0.069267
0,0.017366,0.089147
0,0.006771,0.077834
0,0.018006,0.079237
0,0.014683,0.120231
0,0.018287,0.076490
0,0.017286,0.071057
0,0.010680,0.074326
0,0.016315,0.099480
0,0.008092,0.056379
0,0.020741,0.085789
0,0.022024,0.138146
0,0.013904,0.050763
0,0.010903,0.059155
0,0.017239,0.057749
0,0.031074,0.072541
0,0.011819,0.058192
0,0.022047,0.031066
0,0.011085,0.060830
0,0.014466,0.063893
0,0.015490,0.074647
0,0.015523,0.121468
0,0.020087,0.087432
0,0.015135,0.084588
0,0.025869,0.071452
0,0.019664,0.095808
0,0.007744,0.097669
0,0.039657,0.073512
0,0.022087,0.063801
0,0.007224,0.068664
0,0.011246,0.066170
0,0.012892,0.107200
0,0.012645,0.102985
0,0.029227,0.076186
0,0.010957,0.065131
0,0.014349,0.079331
0,0.041064,0.102464
0,0.010395,0.083919
0,0.017695,0.050705
0,0.018402,0.074662
0,0.014620,0.089459
0,0.022322,0.073474
0,0.009489,0.077167
0,0.014265,0.064091
0,0.018290,0.076109
0,0.040060,0.085571
0,0.019266,0.080691
0,0.012211,0.100495
0,0.009991,0.066634
0,0.022029,0.066179
0,0.016396,0.075639
0,0.033184,0.079205
0,0.029910,0.117338
0,0.021318,0.114944
0,0.033285,0.070562
0,0.020637,0.073000
0,0.018393,0.080512
0,0.016966,0.107445
0,0.037801,0.093168
0,0.012782,0.053989
0,0.009950,0.066529
0,0.015087,0.060833
0,0.034747,0.097903
0,0.012948,0.087272
0,0.007887,0.090306
0,0.029408,0.104127
0,0.009373,0.205304
0,0.012298,0.077252
0,0.023833,0.089070
0,0.010148,0.075249
0,0.018529,0.078328
0,0.017465,0.086402
0,0.018057,0.097236
0,0.017000,0.095901
0,0.013080,0.082509
0,0.013242,0.069600
0,0.018744,0.108497
0,0.016569,0.087391
0,0.033534,0.103435
0,0.021276,0.086834
0,0.009424,0.088578
0,0.017188,0.077390
0,0.009315,0.080478
0,0.024410,0.080729
0,0.010241,0.090294
0,0.014090,0.064055
0,0.019297,0.122674
0,0.019968,0.097669
0,0.015707,0.072936
0,0.014287,0.038847
0,0.012083,0.067428
0,0.015561,0.051724
0,0.027635,0.081286
0,0.022874,0.126890
0,0.011621,0.086903
0,0.018402,0.079205
0,0.027949,0.082142
0,0.009705,0.081293
0,0.006654,0.055208
0,0.013829,0.136860
0,0.014123,0.098769
0,0.020268,0.079892
0,0.034183,0.074525
0,0.017573,0.085219
0,0.013491,0.068308
0,0.015009,0.090804
0,0.044878,0.131126
0,0.025869,0.062859
0,0.010713,0.086035
0,0.020710,0.073229
0,0.015395,0.091269
0,0.018420,0.100212
0,0.022798,0.086467
0,0.011948,0.092667
0,0.013545,0.062235
0,0.036205,0.083312
0,0.013908,0.066541
0,0.012162,0.049434
0,0.032519,0.096184
0,0.026982,0.081950
0,0.016594,0.082118
0,0.014840,0.076101
0,0.018481,0.062427
0,0.011497,0.048137
0,0.013198,0.076517
0,0.007757,0.072007
0,0.011881,0.050270
0,0.016636,0.084036
0,0.009862,0.052676
0,0.008839,0.091643
0,0.017802,0.056562
0,0.026548,0.061362
0,0.008284,0.072089
0,0.014521,0.095407
0,0.011544,0.060831
0,0.012243,0.073589
0,0.021815,0.064218
0,0.010637,0.086167
0,0.016869,0.078660
0,0.016883,0.106736
0,0.013985,0.061244
0,0.009410,0.075188
0,0.018481,0.080317
0,0.014084,0.081171
0,0.015150,0.058050
0,0.013004,0.196768
0,0.020780,0.060463
0,0.027072,0.102185
0,0.010552,0.069036
0,0.010463,0.065673
0,0.013253,0.087619
0,0.016087,0.068863
0,0.013453,0.099935
0,0.015085,0.068949
0,0.012969,0.159058
0,0.017269,0.093377
0,0.010297,0.060551
0,0.011574,0.065788
0,0.017155,0.090663
0,0.015881,0.095658
0,0.024846,0.081395
0,0.007205,0.080879
0,0.023493,0.109758
0,0.011496,0.088298
0,0.013292,0.077583
0,0.025689,0.094892
0,0.043532,0.103404
0,0.008687,0.075752
0,0.016787,0.066864
0,0.036387,0.095821
0,0.031828,0.092907
0,0.030733,0.091514
0,0.013109,0.078141
0,0.017077,0.177033
0,0.023552,0.197235
0,0.014481,0.080988
0,0.014070,0.109322
0,0.042964,0.073580
0,0.017479,0.080236
0,0.007787,0.102726
0,0.022131,0.057241
0,0.029983,0.060950
0,0.013281,0.056358
0,0.011040,0.060823
0,0.016000,0.093095
0,0.008715,0.072543
0,0.024089,0.093586
0,0.024930,0.073481
0,0.020400,0.077679
0,0.016822,0.066724
0,0.028489,0.081774
0,0.033592,0.072716
0,0.018150,0.089290
0,0.029271,0.113036
0,0.014646,0.060666
0,0.013217,0.091863
0,0.012530,0.091887
0,0.026346,0.072871
0,0.010303,0.132523
0,0.009891,0.097968
0,0.012856,0.077125
0,0.007345,0.067963
0,0.025951,0.038787
0,0.014583,0.087571
0,0.022726,0.059383
0,0.021239,0.073963
0,0.014096,0.088974
0,0.014396,0.075350
0,0.023046,0.074981
0,0.023219,0.055893
0,0.025008,0.083260
0,0.010401,0.096624
0,0.023042,0.073321
0,0.029209,0.087321
0,0.015295,0.116589
0,0.048801,0.084594
0,0.018572,0.077060
0,0.010911,0.072507
0,0.009503,0.054421
0,0.018804,0.049557
0,0.015448,0.184513
0,0.019279,0.062230
0,0.034285,0.080441
0,0.023925,0.108587
0,0.017822,0.069168
0,0.015305,0.085642
0,0.028052,0.090066
0,0.026238,0.082418
0,0.012054,0.058630
0,0.016685,0.047981
0,0.016505,0.079400
0,0.019056,0.058677
0,0.032552,0.127279
0,0.013368,0.059693
0,0.019017,0.092019
0,0.017752,0.099252
0,0.015472,0.058061
0,0.013051,0.067993
0,0.014186,0.069669
0,0.017763,0.095999
0,0.015114,0.066143
0,0.015495,0.062294
0,0.046903,0.126104
0,0.013582,0.137781
0,0.008647,0.075326
0,0.012972,0.064972
0,0.027026,0.063111
0,0.020948,0.094137
0,0.008623,0.087252
0,0.020411,0.047333
0,0.018020,0.084058
0,0.009798,0.070313
0,0.031936,0.082791
0,0.015824,0.074548
0,0.010603,0.087102
0,0.007252,0.083710
0,0.019533,0.093590
0,0.017589,0.071783
0,0.015606,0.101735
0,0.014244,0.070128
0,0.031288,0.131220
0,0.034408,0.073219
0,0.013018,0.057445
0,0.023787,0.082212
0,0.017008,0.074261
0,0.016399,0.086129
0,0.017528,0.081269
0,0.019702,0.121599
0,0.015602,0.041809
0,0.012133,0.091302
0,0.012220,0.081240
0,0.026015,0.101056
0,0.016844,0.076820
0,0.025373,0.114169
0,0.018983,0.118615
0,0.008831,0.081962
0,0.023915,0.105619
0,0.019380,0.244603
0,0.009684,0.072583
0,0.015918,0.099264
0,0.014155,0.082432
0,0.020013,0.094631
0,0.016041,0.150083
0,0.017071,0.078908
0,0.014216,0.054112
0,0.028424,0.111665
0,0.018958,0.051618
0,0.011510,0.102534
0,0.009503,0.068452
0,0.013362,0.085925
0,0.048647,0.246363
0,0.013138,0.100337
0,0.031936,0.072514
0,0.012691,0.088552
0,0.026235,0.076999
0,0.011070,0.084910
0,0.011774,0.070291
0,0.012026,0.105437
0,0.050929,0.148043
0,0.009298,0.073904
0,0.011011,0.053434
0,0.011205,0.069138
0,0.007253,0.066156
0,0.014580,0.082611
0,0.012304,0.086477
0,0.013980,0.076616
0,0.036393,0.082919
0,0.029618,0.074319
0,0.011684,0.070483
0,0.018023,0.074313
0,0.020541,0.096477
0,0.033251,0.115010
0,0.011013,0.042375
0,0.041752,0.079376
0,0.013598,0.074401
0,0.009693,0.094505
0,0.011780,0.062908
0,0.025073,0.135204
0,0.011592,0.128863
0,0.016064,0.081687
0,0.055205,0.074119
0,0.012309,0.059875
0,0.013382,0.091726
0,0.014225,0.086397
0,0.013788,0.095137
0,0.018373,0.088748
0,0.030224,0.073298
0,0.013492,0.072289
0,0.027616,0.079537
0,0.019178,0.100869
0,0.012838,0.063541
0,0.016494,0.065082
0,0.026047,0.230252
0,0.013879,0.086584
0,0.013535,0.091910
0,0.010802,0.080210
0,0.011067,0.057626
0,0.027432,0.078028
0,0.022697,0.046530
0,0.025655,0.073653
0,0.024929,0.074823
0,0.024424,0.097152
0,0.025940,0.067888
0,0.013293,0.082924
0,0.021095,0.086417
0,0.015390,0.063001
0,0.011322,0.107754
0,0.030974,0.186475
0,0.012099,0.096399
0,0.018769,0.060332
0,0.012612,0.076614
0,0.012895,0.093133
0,0.022800,0.082565
0,0.013782,0.062589
0,0.015128,0.108101
0,0.024127,0.069540
0,0.012226,0.090913
0,0.012915,0.082548
0,0.016626,0.118035
0,0.011342,0.074525
0,0.024739,0.078296
0,0.015896,0.063162
0,0.015713,0.093212
0,0.022065,0.102076
0,0.017018,0.062332
0,0.015410,0.075420
0,0.010346,0.084890
0,0.012854,0.109558
0,0.022739,0.069555
0,0.029495,0.131694
0,0.019271,0.058527
0,0.024149,0.083818
0,0.018508,0.104332
0,0.015024,0.071220
0,0.009879,0.057201
0,0.027741,0.076555
0,0.027193,0.071768
0,0.011666,0.088333
0,0.014399,0.109201
0,0.014998,0.059627
0,0.011181,0.082692
0,0.028041,0.062113
0,0.011647,0.075140
0,0.016652,0.065860
0,0.008009,0.088460
0,0.022372,0.053270
0,0.037204,0.083592
0,0.015752,0.101951
